title,year,genre,duration,country,director,humor,rhythm,effort,tension,vote,votes_total
La flor de mi secreto,1995,Comedy,100,Spain,Pedro Almodóvar,3,3,2,2,6,86
August,1995,Drama,95,Great Britain,Anthony Hopkins,0,1,2,1,5,4
The Fallen Idol,1948,Drama,94,Great Britain,Carol Reed,0,2,2,2,8,30
The Young Americans,1993,Thriller,103,Great Britain,Danny Cannon,0,3,2,3,7,20
Tout le monde n'a pas eu la chance d'avoir des parents communistes,1996,Comedy,95,France,Jean-Jacques Zilbermann,2,3,1,1,7,4
Les Misérables,1996,Drama,120,France,Claude Lelouch,0,2,1,2,5,5
Conte d'eté,1996,Comedy,113,France,Eric Rohmer,1,1,1,1,7,66
Accion mutante,1993,Comedy,91,Spain,Alex de la Iglesia,1,2,0,1,5,27
Trois vies et une seule mort,1996,Grotesque,123,France,Raoul Ruiz,2,2,0,0,6,18
Une femme douce,1969,Drama,90,France,Robert Bresson,0,2,2,4,8,34
Les voraces,1974,Comedy,95,France,Sergio Gobbi,1,2,0,2,5,10
The Third Secret,1964,Crime,90,Great Britain,Charles Crichton,0,2,0,2,6,10
The Curse of the Fly,1965,Horror,86,Great Britain,Don Sharp,0,2,0,2,5,20
Greyfriars Bobby: The True Story of a Dog,1961,Adventure,91,Great Britain,Don Chaffey,0,2,1,0,7,7
Romuald & Juliette,1988,Comedy,110,France,Coline Serreau,2,2,1,1,7,16
Caravan,1946,Drama,122,Great Britain,Arthur Crabtree,0,2,0,2,4,3
The Admirable Crichton,1957,Comedy,94,Great Britain,Lewis Gilbert,1,2,1,0,6,6
The Italian Job,1969,Comedy,104,Great Britain,Peter Collinson,3,3,1,2,6,43
Scream and Scream Again,1969,Horror,94,Great Britain,Gordon Hessler,0,0,0,0,5,14
Angelique et le Roy,1965,Adventure,105,France,Bernard Borderie,0,2,0,1,6,18
Persuasion,1995,Romantic,106,Great Britain,Roger Michell,2,2,1,1,6,20
Edward II,1991,Drama,90,Great Britain,Derek Jarman,0,2,3,2,7,31
The Double Man,1967,Spy,105,Great Britain,Franklin J. Schaffner,0,2,0,2,6,8
Tacones lejanos,1991,Drama,113,Spain,Pedro Almodóvar,2,3,0,3,6,73
Dust Devil,1992,Horror,100,Great Britain,Richard Stanley,0,2,1,2,6,38
Dracula Has Risen From the Grave,1968,Horror,92,Great Britain,Freddie Francis,0,1,0,3,6,17
Reckless Kelly,1993,Comedy,94,Australia,Yahoo Serious,2,2,0,0,6,4
Rasputin the Mad Monk,1966,Drama,92,Great Britain,Don Sharp,0,2,0,2,7,7
The Innocents,1961,Drama,105,Great Britain,Jack Clayton,1,4,2,4,8,104
On the Beat,1962,Comedy,90,Great Britain,Robert Asher,2,2,0,1,5,5
The Psychopath,1966,Horror,83,Great Britain,Freddie Francis,0,1,3,0,6,10
Frankie Starlight,1995,Romantic,100,Great Britain,Michael Lindsay-Hogg,0,2,2,2,5,4
The Executioner,1970,Spy,107,Great Britain,Sam Wanamaker,0,2,0,2,5,7
Stonewall,1995,Drama,98,Great Britain,Nigel Finch,1,2,2,1,7,11
La seconde vérité,1967,Thriller,92,France,Christian-Jaque,2,3,2,3,4,11
Straight on Till Morning,1972,Thriller,96,Great Britain,Peter Collinson,0,2,0,2,6,9
Hue and Cry,1947,Adventure,82,Great Britain,Charles Crichton,0,3,2,2,7,4
When Dinosaurs Ruled the Earth,1970,Adventure,100,Great Britain,Val Guest,0,3,0,1,5,5
The Blue Lamp,1950,Crime,84,Great Britain,Basil Dearden,1,3,2,3,6,12
Breaker Morant,1979,Drama,107,Australia,Bruce Beresford,0,3,3,3,7,10
The Hit,1984,Thriller,100,Great Britain,Stephen Frears,1,2,2,2,7,39
They're a Weird Mob,1966,Comedy,112,Australia,Michael Powell,3,2,0,1,7,8
Bunny Lake is Missing,1965,Thriller,107,Great Britain,Otto Preminger,0,3,0,3,7,59
Dédée d'Anvers,1947,Drama,87,France,Yves Allégret,0,2,0,2,7,4
La fille de D'Artagnan,1995,Adventure,125,France,Bertrand Tavernier,1,2,1,0,6,20
Les baisers de secours,1989,Drama,83,France,Philippe Garrel,0,1,3,2,7,8
J'entends plus la guitare,1991,Drama,108,France,Philippe Garrel,0,1,4,2,8,12
Les amants du Pont-Neuf,1991,Drama,125,France,Leos Carax,0,2,1,2,7,63
Nowere to Go,1958,Drama,87,Great Britain,Seth Holt,0,0,0,0,7,6
Villain,1971,Drama,98,Great Britain,Michael Tuchner,0,1,1,2,6,5
Shallow Grave,1994,Thriller,90,Great Britain,Danny Boyle,1,3,1,3,7,153
The Master of Ballantrae,1953,Adventure,89,Great Britain,William Keighley,1,2,0,1,6,6
Wetherby,1985,Drama,102,Great Britain,David Hare,0,2,3,3,7,11
Gaslight,1940,Drama,88,Great Britain,Thorold Dickinson,0,2,0,2,7,8
Le sourire,1994,Drama,90,France,Claude Miller,0,2,1,1,6,6
Carve Her Name with Pride,1958,Spy,119,Great Britain,Lewis Gilbert,1,2,0,2,7,11
The Angry Silence,1960,Drama,98,Great Britain,Guy Green,0,2,0,2,6,5
I.D.,1995,Drama,100,Great Britain,Philip Davis,1,2,2,3,7,25
An Awfully Big Adventure,1995,Comedy,112,Great Britain,Mike Newell,1,2,1,2,5,11
The Mouse on the Moon,1963,Comedy,82,Great Britain,Richard Lester,1,1,0,0,6,3
Max e Jérémie,1992,Noir,118,France,Claire Devers,0,2,0,3,7,6
Ma saison preferée,1992,Drama,125,France,André Téchiné,1,2,2,2,6,5
Lektionen in Finsternis,1992,Documentary,58,Germany,Werner Herzog,0,2,5,2,8,69
Les roseaux sauvages,1994,Drama,110,France,André Téchiné,1,3,2,1,8,36
Der Arzt von Stalingrad,1958,Drama,110,Germany,Géza von Radványi,0,0,0,0,5,3
L'eau froide,1994,Drama,92,France,Olivier Assayas,1,3,2,2,7,60
Operation Amsterdam,1958,War,104,Great Britain,Michael McCarthy,0,2,0,2,6,12
La vie des morts,1990,Drama,50,France,Arnaud Desplechin,1,2,1,1,6,13
Romper Stomper,1992,Drama,92,Australia,Geoffrey Wright,0,2,2,2,7,33
The Long Day Closes,1992,Drama,85,Great Britain,Terence Davies,1,2,3,2,7,23
Belle époque,1992,Grotesque,108,Spain,Fernando Trueba,2,3,1,1,5,34
The Golden Salamander,1949,Adventure,87,Great Britain,Ronald Neame,1,2,0,1,4,4
Enchanted April,1992,Comedy,95,Great Britain,Mike Newell,2,2,2,2,5,17
The Scarlet Pimpernel,1935,Adventure,98,Great Britain,Harold Young,1,2,0,2,7,23
Man in the Moon,1960,Comedy,99,Great Britain,Basil Dearden,3,3,1,0,5,7
Nez de cuir,1951,Drama,92,France,Yves Allégret,0,2,1,2,5,4
Der Amerikanische Soldat,1970,Noir,80,Germany,Rainer Werner Fassbinder,1,3,2,3,6,38
Der Händler der vier Jahreszeiten,1971,Drama,89,Germany,Rainer Werner Fassbinder,1,2,3,2,7,33
Die bitteren Tränen der Petra von Kant,1972,Drama,124,Germany,Rainer Werner Fassbinder,0,1,3,2,8,87
In einem Jahr mit 13 Monden,1978,Drama,124,Germany,Rainer Werner Fassbinder,1,2,3,2,7,45
Lili Marleen,1980,Drama,120,Germany,Rainer Werner Fassbinder,0,2,1,2,6,31
Zeppelin,1971,Spy,103,Great Britain,Etienne Perier,0,3,1,2,5,9
Conte d'hiver,1991,Comedy,117,France,Eric Rohmer,1,2,2,1,6,62
Les nuits de la pleine lune,1984,Comedy,102,France,Eric Rohmer,2,2,1,1,7,42
La scoumoune,1972,Adventure,105,France,José Giovanni,2,3,3,3,6,25
The Monster Club,1980,Horror,94,Great Britain,Roy Ward Baker,1,3,0,3,6,31
Borsalino and Co.,1974,Crime,115,France,Jacques Deray,0,3,0,2,5,23
The Fighting Prince of Donegal,1966,Adventure,110,Great Britain,Michael O'Herlihy,1,2,1,1,5,5
The Disappearence of Nora,1993,Thriller,98,Great Britain,Joyce Chopra,0,2,1,2,6,4
Aces High,1976,War,120,Great Britain,Jack Gold,0,2,0,1,6,13
The Last Valley,1970,Adventure,128,Great Britain,James Clavell,0,2,2,2,7,25
The Sword and the Rose,1952,Romantic,91,Great Britain,Ken Annakin,1,2,0,1,5,5
Angel,1984,Drama,121,Ireland,Neil Jordan,0,3,2,3,7,6
Warlords of Atlantis,1978,Adventure,96,Great Britain,Kevin Connor,1,2,0,2,6,9
The Ladykillers,1955,Comedy,97,Great Britain,Alexander Mackendrick,3,3,2,3,7,72
Kådisbellan,1993,Comedy,101,Sweden,Åke Sandgren,1,3,2,1,6,4
The French Lieutenant's Woman,1981,Romantic,99,Great Britain,Karel Reisz,0,1,2,2,7,80
Alexandre le bienheureux,1967,Comedy,95,France,Yves Robert,3,2,2,1,7,10
Jeff,1969,Drama,90,France,Jean Herman,0,2,0,2,7,3
Notre Dame de Paris,1956,Drama,104,France,Jean Delannoy,0,2,0,2,5,6
Les parents terribles,1948,Drama,100,France,Jean Cocteau,1,2,2,3,7,14
Quelqu'un derrière la porte,1971,Thriller,96,France,Nicolas Gessner,1,3,2,3,4,20
Liebelei,1932,Drama,88,Germany,Max Ophüls,0,4,1,2,8,16
Vampira,1975,Grotesque,90,Great Britain,Clive Donner,2,2,0,1,4,11
Die Puppe,1919,Comedy,60,Germany,Ernst Lubitsch,1,2,1,1,8,28
Le bonheur est dans le pré,1995,Comedy,95,France,Etienne Chatiliez,2,2,0,2,7,7
Carla's Song,1996,Drama,127,Great Britain,Ken Loach,1,3,4,3,6,50
A Town Like Alice,1956,War,117,Great Britain,Jack Lee,0,1,2,2,7,6
The Count of Monte Cristo,1975,Adventure,100,Great Britain,David Greene,0,2,0,2,6,18
Regarde les hommes tomber,1994,Noir,100,France,Jacques Audiard,0,2,0,2,7,16
Heat and Dust,1983,Drama,133,Great Britain,James Ivory,0,2,0,0,6,22
Tout ça... pour ça!,1993,Comedy,116,France,Claude Lelouch,1,3,0,2,6,7
The Stranglers of Bombay,1960,Horror,80,Great Britain,Terence Fisher,1,2,0,3,6,6
The Curse of the Mummy's Tomb,1964,Horror,80,Great Britain,Michael Carreras,1,2,0,3,4,10
Gorgo,1960,Sci-Fi,78,Great Britain,Eugène Lourié,1,2,1,2,5,10
La chasse aux papillons,1991,Grotesque,115,France,Otar Iosseliani,2,2,3,2,7,24
Après l'amour,1992,Comedy,104,France,Diane Kurys,1,2,1,2,6,3
Chase a Crooked Shadow,1958,Thriller,87,Great Britain,Michael Anderson,2,4,3,4,7,19
Såsom i en spegel,1960,Drama,89,Sweden,Ingmar Bergman,1,2,5,3,8,134
Ansiktet,1958,Drama,101,Sweden,Ingmar Bergman,0,2,3,2,8,80
Nattvardsgästerna,1963,Drama,81,Sweden,Ingmar Bergman,0,2,4,2,8,132
Sommarlek,1951,Drama,96,Sweden,Ingmar Bergman,0,2,3,1,7,50
Sommarnattens leende,1955,Comedy,110,Sweden,Ingmar Bergman,3,3,1,1,7,63
Le garçu,1995,Drama,95,France,Maurice Pialat,1,3,2,1,7,10
The Trollenberg Terror,1958,Sci-Fi,84,Great Britain,Quentin Lawrence,0,2,0,2,5,6
Asterix in Amerika,1994,Animation,80,Germany,Gerhard Hahn,2,2,0,0,6,27
The Lighthorsemen,1988,Adventure,110,Australia,Simon Wincer,0,2,0,2,6,8
Trainspotting,1996,Grotesque,94,Great Britain,Danny Boyle,2,3,3,2,7,452
Les gens normaux n'ont rien d'exceptionel,1993,Drama,103,France,Laurence Ferreira Barbosa,1,2,0,2,7,3
The Pirate Movie,1982,Comedy,96,Australia,Ken Annakin,1,2,0,0,5,3
Die Gebrüder Skladanowsky,1996,Biography,79,Germany,Wim Wenders,2,2,2,0,5,17
Irma Vep,1996,Comedy,98,France,Olivier Assayas,1,2,2,1,7,34
Chacun cherche son chat,1996,Comedy,90,France,Cédric Klapisch,2,2,0,0,7,24
La métamorphose des cloportes,1965,Thriller,98,France,Pierre Granier-Deferre,1,3,0,2,9,4
Murphy's War,1970,War,100,Great Britain,Peter Yates,2,4,2,4,6,16
Michael Collins,1996,History,132,Great Britain,Neil Jordan,1,3,3,2,6,129
Wuthering Heights,1970,Drama,105,Great Britain,Robert Fuest,0,2,1,2,6,6
Pope Joan,1971,Drama,92,Great Britain,Michael Anderson,0,1,1,0,5,3
Love and Other Catastrophes,1996,Comedy,82,Australia,Emma-Kate Croghan,3,2,0,0,6,16
Les grandes vacances,1967,Comedy,90,France,Jean Girault,2,2,0,1,6,8
The Van,1996,Comedy,105,Great Britain,Stephen Frears,2,3,2,1,5,25
Shine,1996,Drama,100,Australia,Scott Hicks,2,2,2,3,7,150
The Time Guardian,1988,Sci-Fi,105,Australia,Brian Hannant,0,1,0,1,5,4
Secrets and Lies,1996,Drama,144,Great Britain,Mike Leigh,1,2,3,3,8,173
Go Now,1996,Drama,107,Great Britain,Michael Winterbottom,1,2,3,1,7,32
Revenge,1987,Drama,92,Germany,John Herzfeld,0,2,0,2,7,3
Sweeney 2,1978,Crime,90,Great Britain,Tom Clegg,0,1,0,2,5,5
The Weapon,1958,Crime,90,Great Britain,Val Guest,0,2,0,2,6,5
Beautiful Thing,1996,Comedy,90,Great Britain,Hettie MacDonald,3,2,1,1,7,23
Les cent et une nuits de Simon Cinéma,1995,Drama,100,France,Agnés Varda,1,3,2,1,7,6
Modesty Blaise,1966,Spy,120,Great Britain,Joseph Losey,0,3,0,2,4,18
Faites sauter la banque,1964,Comedy,88,France,Jean Girault,4,4,2,2,6,4
Pedale douce,1996,Comedy,102,France,Gabriel Aghion,2,3,1,0,7,7
Ridicule,1996,Comedy,102,France,Patrice Leconte,1,2,1,0,6,24
Seven Thunders,1958,War,89,Great Britain,Hugo Fregonese,1,2,0,1,6,3
Pour rire,1996,Comedy,100,France,Lucas Belvaux,2,2,0,0,7,8
Sweeney,1977,Crime,110,Great Britain,David Wickes,0,1,0,2,5,5
Deux hommes dans Manhattan,1959,Drama,84,France,Jean-Pierre Melville,1,2,2,2,7,39
Some Mother's Son,1996,Drama,110,Great Britain,Terry George,1,3,3,3,7,9
Dharmaga tongjoguro kan kkadalgun,1989,Drama,137,South Korea,Yong Kyun Bae,0,1,3,1,8,10
La boum 2,1982,Comedy,92,France,Claude Pinoteau,3,3,3,1,4,44
La boum,1980,Comedy,100,France,Claude Pinoteau,2,1,1,0,6,116
La gueule de l'autre,1979,Comedy,101,France,Pierre Tchernia,3,2,3,0,7,4
Les princes,1982,Drama,87,France,Tony Gatlif,0,2,2,2,8,3
Capitaine Conan,1996,Drama,130,France,Bertrand Tavernier,1,2,4,2,7,15
Sur un arbre perché,1973,Comedy,91,France,Serge Korber,2,2,0,1,5,33
Scandal,1988,Drama,109,Great Britain,Michael Caton-Jones,0,2,0,1,6,10
Salsa Rosa,1991,Comedy,85,Spain,Manuel Gómez Pereira,2,1,0,0,3,3
Maximilian Kolbe,1991,Biography,94,Germany,Krzysztof Zanussi,0,1,2,2,6,6
Les enfants du Paradis,1945,Drama,195,France,Marcel Carné,1,2,1,2,8,128
Total Eclipse,1995,Drama,110,Great Britain,Agnieszka Holland,0,1,1,1,5,48
Saint-Ex,1996,Biography,85,Great Britain,Anand Tuker,0,1,2,0,6,7
La machine,1994,Sci-Fi,93,France,François Dupeyron,0,2,0,1,4,5
Guns at Batasi,1964,War,95,Great Britain,John Guillermin,1,2,1,1,6,11
Aguirre der Zorn Gotters,1972,Drama,93,Germany,Werner Herzog,1,3,4,4,8,241
Nénette et Boni,1996,Drama,103,France,Claire Denis,0,2,2,1,7,10
Crescendo,1972,Horror,80,Great Britain,Alan Gibson,0,1,0,2,5,5
Perfect Friday,1970,Comedy,105,Great Britain,Peter Hall,1,2,0,0,5,3
Corridors of Blood,1958,Drama,86,Great Britain,Robert Day,0,2,0,2,6,8
The Twelfth Night,1996,Comedy,100,Great Britain,Trevor Nunn,2,2,1,1,6,6
Small Faces,1996,Drama,108,Great Britain,Gillies MacKinnon,1,1,2,1,5,3
Como ser mujer y non morir en el intento,1991,Comedy,89,Spain,Ana Belén,2,0,0,0,4,3
Die Macht der Bilder - Leni Riefenstahl,1993,Documentary,181,Germany,Ray Müller,0,2,2,1,7,7
Monty Python's - The Meaning of Life,1983,Grotesque,98,Great Britain,Terry Jones,3,2,2,0,7,206
Genealogies d'un crime,1997,Drama,113,France,Raoul Ruiz,1,1,2,0,6,13
Twin Town,1997,Drama,106,Great Britain,Kevin Allen,1,3,2,0,6,18
Les démons de Jésus,1996,Comedy,117,France,Bernie Bonvoisin,2,2,0,1,7,6
Mr. Reliable,1996,Comedy,112,Australia,Nadia Tass,3,2,2,1,7,3
In Celebration,1975,Drama,124,Great Britain,Lindsay Anderson,0,2,3,3,7,4
Sea of Sand,1958,War,99,Great Britain,Guy Green,0,2,0,2,6,3
Kaleidoscope,1967,Comedy,103,Great Britain,Jack Smight,2,2,0,2,5,9
The Music Lovers,1970,Biography,125,Great Britain,Ken Russell,2,4,3,3,7,34
Les deux anglaises et le Continent,1971,Drama,108,France,François Truffaut,2,3,3,3,7,83
The Tango Lesson,1997,Musical,102,Great Britain,Sally Potter,1,2,1,1,6,22
La belle verte,1995,Comedy,90,France,Coline Serreau,1,2,1,0,6,30
Le voleur,1967,Comedy,117,France,Louis Malle,2,3,2,1,6,22
Deux ou trois choses que je sais d'elle,1967,Drama,95,France,Jean-Luc Godard,1,3,4,1,7,57
War of the Buttons,1994,Adventure,91,Great Britain,John Roberts,1,2,0,0,4,16
Au hasard Balthazar,1966,Drama,91,France,Robert Bresson,1,2,4,2,8,143
The Hound of the Baskervilles,1959,Thriller,87,Great Britain,Terence Fisher,1,3,0,3,6,46
Love etc.,1997,Comedy,90,France,Marion Vernoux,1,3,1,1,6,4
Le diable probablement,1977,Drama,98,France,Robert Bresson,0,4,4,3,7,86
Western,1997,Comedy,136,France,Manuel Poirier,2,2,0,1,6,4
La Cité de la peur,1994,Comedy,102,France,Alain Berbérian,2,2,0,2,5,4
Cold Comfort Farm,1996,Comedy,95,Great Britain,John Schlesinger,4,3,3,3,7,33
The Lost Continent,1968,Horror,85,Great Britain,Michael Carreras,0,2,0,2,5,12
Mojo,1997,Drama,90,Great Britain,Jez Butterworth,1,2,2,2,7,5
There's Girl in My Soup,1971,Comedy,95,Great Britain,Roy Boulting,3,2,0,0,6,6
Un air de famille,1997,Comedy,110,France,Cédric Klapisch,2,2,3,1,6,11
Le cinquième element,1997,Sci-Fi,126,France,Luc Besson,2,3,0,0,6,174
Blackwater Trail,1996,Thriller,95,Australia,Ian Barry,0,2,1,3,5,7
Career Girl,1997,Comedy,110,Great Britain,Mike Leigh,2,2,3,2,6,19
Welcome to Sarajevo,1997,Drama,100,Great Britain,Michael Winterbottom,0,2,3,2,6,17
Our Man in Havana,1960,Spy,107,Great Britain,Carol Reed,2,2,1,2,7,35
The Leather Boys,1963,Drama,105,Great Britain,Sidney J. Furie,0,2,1,2,6,3
Rien ne va plus,1997,Comedy,95,France,Claude Chabrol,1,2,0,2,7,34
Marquise,1997,Drama,120,France,Vera Belmont,1,2,0,0,4,9
Bean,1997,Comedy,90,Great Britain,Mel Smith,3,2,0,0,6,128
Dobermann,1997,Crime,105,France,Jan Kounen,2,3,1,1,5,63
Der Scharlachrote Buchstabe,1972,Drama,85,Germany,Wim Wenders,0,3,4,3,6,18
Die unendliche Geschichte III,1994,Fantasy,95,Germany,Peter McDonald,1,2,0,1,4,22
IP5 - L'ile aux paschdermes,1991,Drama,119,France,Jean-Jacques Beineix,0,2,0,1,6,3
Die angst des tormanns beim elfmeter,1971,Drama,84,Germany,Wim Wenders,0,3,3,2,6,18
Le chat,1971,Drama,94,France,Pierre Granier-Deferre,0,3,0,3,7,14
Les portes de la nuit,1946,Drama,111,France,Marcel Carné,0,2,2,3,7,15
L'arme à gauche,1968,Adventure,90,France,Claude Sautet,0,2,0,2,7,7
The Revengers' Comedies,1997,Comedy,95,Great Britain,Malcolm Mowbray,1,1,0,0,5,6
Wilde,1997,Drama,116,Great Britain,Brian Gilbert,1,2,2,1,6,49
Y'aura-t-il de la neige à Noël?,1997,Drama,90,France,Sandrine Veysset,0,2,3,2,7,7
Fever Pitch,1997,Comedy,102,Great Britain,David Evans,2,2,1,1,6,99
Le cadeau,1981,Comedy,100,France,Michel Lang,3,3,0,0,7,4
Cromwell,1970,History,150,Great Britain,Ken Hughes,0,2,2,2,6,15
The Winter Guest,1997,Drama,108,Great Britain,Alan Rickman,2,2,3,2,6,64
The One That Got Away,1958,War,106,Great Britain,Roy Ward Baker,0,2,2,2,6,3
The Snapper,1993,Comedy,91,Great Britain,Stephen Frears,4,4,3,3,7,24
Adrenalin,1996,Drama,90,Germany,Dominique F. Othnein,0,1,1,2,2,3
La caza,1966,Drama,93,Spain,Carlos Saura,1,3,3,3,7,14
Marius et Jeannette,1997,Comedy,102,France,Robert Guédiguian,3,4,3,2,7,15
The Serpent Kiss,1997,Drama,100,Great Britain,Philippe Rousselot,1,2,1,1,5,8
Le jouet,1976,Comedy,92,France,Francis Veber,2,2,1,0,6,4
Big Fish,1997,Comedy,110,Great Britain,Stefan Schwartz,2,2,1,0,7,30
Spice World,1997,Comedy,90,Great Britain,Bob Spiers,1,2,0,1,3,18
Deadlier than the Male,1966,Thriller,98,Great Britain,Ralph Thomas,1,1,0,1,4,4
Une dimanche à la campagne,1984,Comedy,94,France,Bertrand Tavernier,1,2,0,0,8,35
The Wrong Arm of the Law,1963,Comedy,94,Great Britain,Cliff Owen,3,3,0,1,7,7
Kvinnors väntan,1952,Drama,80,Sweden,Ingmar Bergman,0,2,3,2,7,33
Larmar och goer sig till,1997,Comedy,120,Sweden,Ingmar Bergman,0,2,4,3,6,18
La maman et la putain,1973,Comedy,208,France,Jean Eustache,2,3,2,1,8,43
Etat de siège,1973,Drama,122,France,Costa-Gavras,0,2,3,3,6,15
Pour la peau d'un flic,1981,Crime,104,France,Alain Delon,1,2,0,2,5,14
Amantes,1991,Drama,103,Spain,Vicente Aranda,1,3,3,2,5,55
Orphée,1950,Drama,112,France,Jean Cocteau,0,2,3,2,7,19
Bonjour tristesse!,1958,Drama,92,Great Britain,Otto Preminger,1,2,3,3,7,30
3 hommes à abattre,1980,Crime,90,France,Jacques Deray,1,3,1,3,7,12
Tango,1993,Grotesque,86,France,Patrice Leconte,2,2,2,1,7,14
L'appartement,1995,Drama,116,France,Gilles Mimouni,0,2,0,2,5,19
Mörderische Zwillinge,1995,Thriller,92,Germany,Dominique Othenin-Girard,1,2,1,2,6,3
Brassed Off,1997,Comedy,127,Great Britain,Mark Herman,2,3,3,2,6,50
The Story of Esther Costello,1958,Drama,103,Great Britain,David Miller,0,2,2,2,6,3
Le Coeur fantôme,1996,Drama,85,France,Philippe Garrel,0,2,3,2,7,3
Yield to the Night,1956,Drama,99,Great Britain,J. Lee Thompson,0,2,0,2,6,6
On connaît la chanson,1997,Comedy,120,France,Alain Resnais,2,2,1,0,7,57
The Full Monty,1997,Comedy,98,Great Britain,Peter Cattaneo,2,3,2,1,6,159
Das Versprechen,1994,Drama,119,Germany,Margarethe Von Trotta,1,2,3,2,7,4
Rosamunde Pilcher: Wilder Thymian,1994,Romantic,89,Germany,Gero Erhardt,1,1,0,1,3,4
Rosamunde Pilcher: Wechselspiel der Liebe,1994,Romantic,89,Germany,Rolf von Sydow,1,2,0,0,5,5
Summer City,1976,Drama,83,Australia,Christopher Fraser,0,2,1,2,5,6
Where Angels Fear to Tread,1991,Drama,103,Great Britain,Charles Sturridge,0,1,3,3,4,5
Le sang à la tête,1956,Drama,84,France,Gilles Grangier,0,2,1,2,7,9
Rosamunde Pilcher: Stürmische Begegnung,1994,Romantic,90,Germany,Helmut Förnbacher,0,1,0,1,3,3
Oostende,1991,Comedy,76,France,Eric Woreth,0,2,0,1,3,4
Cette nuit là,1958,Crime,100,France,Maurice Cazeneuve,0,2,0,2,3,4
Betrayal,1983,Comedy,95,Great Britain,David Hugh Jones,2,3,2,1,8,4
Look Back in Anger,1958,Drama,99,Great Britain,Tony Richardson,1,3,4,4,7,29
The Quiller Memorandum,1967,Spy,105,Great Britain,Michael Anderson,1,3,0,3,6,16
Las edades de Lulù,1990,Drama,99,Spain,Bigas Luna,1,1,1,1,4,62
A Life Less Ordinary,1997,Comedy,98,Great Britain,Danny Boyle,1,2,0,1,5,50
Kiss or Kill,1997,Drama,95,Australia,Bill Bennett,1,3,0,2,6,5
Maigret et l'affaire Saint Fiacre,1959,Crime,98,France,Jean Delannoy,2,4,2,4,7,14
Der Clown,1996,Thriller,93,Germany,Hermann Joha,0,2,0,2,7,3
Les 400 coups,1959,Drama,93,France,François Truffaut,1,3,3,2,9,447
Baisers volés,1968,Comedy,88,France,François Truffaut,3,3,3,2,7,106
L'amour en fuite,1979,Comedy,89,France,François Truffaut,2,3,1,2,7,60
Le caporal épinglé,1963,Drama,95,France,Jean Renoir,0,2,3,3,7,8
The Grotesque,1995,Drama,98,Great Britain,John Paul Davidson,1,2,0,1,4,4
Gadjo Dilo,1997,Drama,100,France,Tony Gatlif,2,3,4,1,7,13
La mirada del otro,1998,Comedy,105,Spain,Vicente Aranda,1,2,1,1,4,56
Crime et châtiment,1956,Drama,93,France,Georges Lampin,0,2,2,2,6,8
Angst essen Seele auf,1973,Drama,93,Germany,Rainer Werner Fassbinder,1,3,4,4,8,70
My Son the Fanatic,1997,Comedy,88,Great Britain,Udayan Prasad,2,2,2,1,7,3
Nil by Mouth,1997,Drama,110,Great Britain,Gary Oldman,1,2,3,2,7,17
Mrs. Brown,1997,Drama,103,Great Britain,John Madden,0,2,0,2,6,24
Corps à coeur,1979,Drama,95,France,Paul Vecchiali,1,3,3,1,8,15
La grande bouffe,1973,Grotesque,123,France,Marco Ferreri,3,3,4,1,8,287
Rosa la Rose fille publique,1985,Drama,85,France,Paul Vecchiali,0,0,3,2,7,9
Muriel ou le temps d'un retour,1963,Drama,110,France,Alain Resnais,1,2,3,1,6,30
A Prayer for the Dying,1987,Drama,109,Great Britain,Mike Hodges,0,2,0,2,6,14
Oscar and Lucinda,1997,Drama,132,Australia,Gillian Armstrong,1,2,0,2,6,11
Tiré à part,1997,Noir,85,France,Bernard Rapp,0,2,0,1,5,7
La vie de Jésus,1997,Drama,96,France,Bruno Dumont,0,1,3,2,7,59
A Clockwork Orange,1971,Grotesque,137,Great Britain,Stanley Kubrick,2,3,3,3,9,929
A King in New York,1957,Comedy,105,Great Britain,Charles Chaplin,2,2,1,1,7,76
Across the Bridges,1957,Drama,103,Great Britain,Ken Annakin,0,2,0,2,7,3
The Charge of the Light Brigade,1968,Drama,130,Great Britain,Tony Richardson,2,3,2,2,6,21
The Wings of the Dove,1997,Drama,108,Great Britain,Iain Softley,0,2,1,2,6,11
Enskilda Samtal,1996,Drama,110,Sweden,Liv Ullmann,0,1,2,0,7,11
Mesmerized,1986,Drama,97,Great Britain,Michael Laughlin,0,2,2,1,5,3
The Informant,1997,Drama,109,Ireland,Jim McBride,0,2,1,2,5,12
Marie Baie des Anges,1997,Drama,90,France,Manuel Pradal,1,2,1,2,6,8
Beaumarchais,1996,Comedy,100,France,Edouard Molinaro,2,3,1,0,6,9
Subway,1985,Adventure,104,France,Luc Besson,1,3,0,2,6,51
The Miracle,1991,Drama,96,Great Britain,Neil Jordan,0,3,2,3,6,7
Hercule & Sherlock,1996,Comedy,95,France,Jeannot Szwarc,1,2,0,0,3,4
Le planète sauvage,1973,Animation,70,France,René Laloux,1,4,3,2,8,65
Un amour de sorcière - Witch Way Love,1997,Comedy,102,France,René Manzor,1,2,0,1,3,3
Assassin(s),1998,Drama,134,France,Mathieu Kassovitz,0,2,3,2,6,9
The Curse of the Werewolf,1961,Horror,91,Great Britain,Terence Fisher,0,2,1,2,7,29
Les bonnes femmes,1959,Drama,90,France,Claude Chabrol,1,3,1,1,6,25
Photographing Fairies,1997,Drama,106,Great Britain,Nick Willing,0,1,1,1,4,5
